CI_ID_QUADRA;GEOMETRIA
01.01.004.0.0047;POLYGON((-53.810303466296396 -25.667565817164114, -53.80915318789457 -25.667853364914432, -53.80947370870363 -25.668894982835884, -53.810623987105444 -25.668607435085566, -53.810303466296396 -25.667565817164114))
01.04.004.1.0017;POLYGON((-53.80715198023441 -25.65716588167305, -53.80600296791678 -25.657457183009736, -53.80638176976558 -25.65867121832696, -53.80753078208321 -25.658379916990274, -53.80715198023441 -25.65716588167305))
01.02.001.0.0020;POLYGON((-53.80700135405188 -25.66581548828715, -53.80584085732782 -25.666103376648785, -53.80615909594814 -25.667145561712843, -53.807319592672194 -25.666857673351206, -53.80700135405188 -25.66581548828715))
01.02.001.0.0018;POLYGON((-53.806624587034406 -25.66459814630901, -53.80546443255541 -25.664887115661955, -53.805783862965605 -25.665929003690987, -53.8069440174446 -25.665640034338043, -53.806624587034406 -25.66459814630901))
01.02.002.0.0033;POLYGON((-53.80576901891416 -25.676316324986495, -53.804621835319466 -25.676614010804208, -53.80495368108583 -25.67765275001351, -53.80610086468052 -25.677355064195797, -53.80576901891416 -25.676316324986495))
01.03.002.0.0034;POLYGON((-53.804442373350284 -25.67667458965511, -53.8032879730318 -25.6769486891527, -53.8035935266497 -25.67799396034489, -53.80474792696818 -25.6777198608473, -53.804442373350284 -25.67667458965511))
01.03.002.3.0065;POLYGON ((-53.804163197553486 -25.680786648136966, -53.802819984261696 -25.68111854933114, -53.80319000244652 -25.682334801863036, -53.8045332157383 -25.682002900668866, -53.804163197553486 -25.680786648136966))
01.03.002.3.0053;POLYGON ((-53.80383467084662 -25.679715801557535, -53.8024932871645 -25.680053620137407, -53.80278917915337 -25.681007898442463, -53.804130562835496 -25.68067007986259, -53.80383467084662 -25.679715801557535))
01.03.002.3.0054;POLYGON((-53.802183605889404 -25.680138220093685, -53.80122565627662 -25.680380214572832, -53.801522394110584 -25.681334279906324, -53.80248034372337 -25.681092285427177, -53.802183605889404 -25.680138220093685))
01.06.004.1.0018;POLYGON((-53.81159172744374 -25.657557690193787, -53.810440869344205 -25.657843031154027, -53.81081192255624 -25.65905900980621, -53.81196278065577 -25.65877366884597, -53.81159172744374 -25.657557690193787))
01.05.004.1.0019;POLYGON((-53.810257055470124 -25.657917232389494, -53.809106212293806 -25.658202633284247, -53.80947734452986 -25.6594185926105, -53.81062818770618 -25.659133191715746, -53.810257055470124 -25.657917232389494))
01.06.004.1.0023;POLYGON((-53.81199476074622 -25.65894525332251, -53.81085201421844 -25.659255995614377, -53.81125610364546 -25.660463389678913, -53.812398821389884 -25.660152561384194, -53.81199476074622 -25.65894525332251))
01.04.004.1.0029;POLYGON((-53.809767633846604 -25.6610070958069, -53.80861714459098 -25.66129374999184, -53.8089899161534 -25.662509304193094, -53.81014040540903 -25.66222265000815, -53.809767633846604 -25.6610070958069))
01.04.004.0.0036;POLYGON((-53.81190179771409 -25.66328283096114, -53.810751762764134 -25.663571033910113, -53.811073002285916 -25.664612469038854, -53.81222303723588 -25.66432426608988, -53.81190179771409 -25.66328283096114))
01.03.001.2.0048;POLYGON((-53.800819033565844 -25.66997626899122, -53.799483406845795 -25.670331813318676, -53.79982311643417 -25.67136848100879, -53.801158743154225 -25.671012936681336, -53.800819033565844 -25.66997626899122))
01.03.001.0.0046;POLYGON((-53.80362184788277 -25.669278652553732, -53.80246984176049 -25.669560579870204, -53.802784102117236 -25.670603747446265, -53.80393610823952 -25.670321820129793, -53.80362184788277 -25.669278652553732))
